strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
B,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,NA,NA
C,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,NA,NA
D,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,NA,NA
E,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,NA,NA
F,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,NA,NA
G,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,NA,NA
H,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,NA,NA
I,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,NA,NA
J,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,NA,NA
K,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,NA,NA
L,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,NA,NA
M,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,NA,NA
N,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,NA,NA
O,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,NA,NA
P,NA,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,PJ23100,PJ23107,PJ23109,PJ23110,PJ23111,none,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,
rbs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,NA,NA
B,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,NA,NA
C,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,NA,NA
D,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,NA,NA
E,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,NA,NA
F,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,NA,NA
G,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,NA,NA
H,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,NA,NA
I,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,NA,NA
J,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,NA,NA
K,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,NA,NA
L,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,NA,NA
M,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,NA,NA
N,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,NA,NA
O,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,NA,NA
P,NA,wk2,wk2,wk2,wk2,wk2,st8,st8,st8,st8,st8,st7,st7,st7,st7,st7,wk5,wk5,wk5,wk5,wk5,none,NA,NA
